"year","sampid","length","sl.larv.adj"
1993,1220,39,1.432185666
1993,1220,86,2.267948196
1993,1225,63,1.748787535
1993,1226,146,6.009820069
1993,1229,33,1.376702322
1993,1232,67,1.820616001
1993,1233,142,5.571310842
1993,1244,34,1.385428337
1993,1256,95,2.558151215
1993,1278,0,1.176930195
1993,1280,39,1.432185666
1993,1283,73,1.941482047
1993,1290,34,1.385428337
1993,1299,34,1.385428337
1993,1299,39,1.432185666
1993,1299,45,1.495840984
1993,1306,121,3.826106587
1993,1318,81,2.130771338
1993,1376,47,1.51907858
1993,1381,41,1.452440055
1993,1391,71,1.89933471
1993,1392,77,2.031794996
1993,1392,78,2.05569572
1993,1392,91,2.42176634
1993,1392,94,2.522875007
1993,1428,60,1.699073075
1993,1440,54,1.609327128
1993,1440,63,1.748787535
1993,1440,86,2.267948196
1993,1440,91,2.42176634
1993,1440,96,2.59424457
1993,1440,115,3.463295284
1993,1443,68,1.839624929
1993,1444,43,1.473643666
1993,1444,56,1.637883254
1993,1444,57,1.652659321
1993,1444,57,1.652659321
1993,1444,63,1.748787535
1993,1444,80,2.105170918
1993,1444,90,2.389577856
1993,1444,105,2.959129026
1993,1444,107,3.050943641
1993,1444,115,3.463295284
1993,1466,32,1.368173862
1993,1466,33,1.376702322
1993,1466,33,1.376702322
1993,1466,33,1.376702322
1993,1466,33,1.376702322
1993,1466,34,1.385428337
1993,1466,34,1.385428337
1993,1466,34,1.385428337
1993,1466,36,1.403491442
1993,1466,64,1.766132613
1993,1466,67,1.820616001
1993,1466,69,1.859074184
1993,1466,71,1.89933471
1993,1466,73,1.941482047
1993,1466,77,2.031794996
1993,1466,77,2.031794996
1993,1466,84,2.211185946
1993,1466,95,2.558151215
1993,1466,111,3.247683207
1993,1466,117,3.57873766
1993,1466,134,4.806080807
1993,1471,43,1.473643666
1993,1471,50,1.555992764
1993,1471,57,1.652659321
1993,1473,43,1.473643666
1993,1480,86,2.267948196
1993,1493,0,1.176930195
1993,1494,37,1.412838006
1993,1499,30,1.351691819
1993,1499,33,1.376702322
1993,1499,49,1.543405207
1993,1499,51,1.568871901
1993,1499,52,1.582049374
1993,1499,56,1.637883254
1993,1499,56,1.637883254
1993,1499,73,1.941482047
1993,1499,81,2.130771338
1993,1518,33,1.376702322
1993,1518,34,1.385428337
1993,1518,91,2.42176634
1993,1530,0,1.176930195
1993,1533,73,1.941482047
1993,1534,40,1.442196909
1993,1534,41,1.452440055
1993,1534,53,1.595532092
1993,1534,53,1.595532092
1993,1534,60,1.699073075
1993,1534,65,1.783879476
1993,1534,66,1.802037431
1993,1534,69,1.859074184
1993,1534,69,1.859074184
1993,1534,69,1.859074184
1993,1534,70,1.878973966
1993,1534,71,1.89933471
1993,1534,72,1.920167095
1993,1534,73,1.941482047
1993,1534,74,1.963290742
1993,1534,76,2.008435379
1993,1534,76,2.008435379
1993,1534,89,2.358118112
1993,1534,95,2.558151215
1993,1534,104,2.914774766
1993,1534,111,3.247683207
1993,1535,17,1.261139639
1993,1535,43,1.473643666
1993,1535,54,1.609327128
1993,1535,56,1.637883254
1993,1535,81,2.130771338
1993,1535,83,2.183764956
1993,1535,123,3.95855212
1993,1590,60,1.699073075
1993,1590,125,4.097204715
1993,1591,52,1.582049374
1993,1591,56,1.637883254
1993,1591,57,1.652659321
1993,1591,65,1.783879476
1993,1591,71,1.89933471
1993,1591,72,1.920167095
1993,1591,75,1.985604619
1993,1591,85,2.239242121
1993,1591,138,5.171184299
1993,1597,35,1.394356483
1993,1621,104,2.914774766
1993,1627,62,1.731835147
1993,1627,71,1.89933471
1993,1627,114,3.407526808
1993,1628,63,1.748787535
1993,1630,30,1.351691819
1993,1630,96,2.59424457
1993,1632,32,1.368173862
1993,1632,33,1.376702322
1993,1637,50,1.555992764
1993,1648,70,1.878973966
1993,1649,52,1.582049374
1993,1649,102,2.829056024
1993,1649,111,3.247683207
1993,1649,125,4.097204715
1993,1649,132,4.635693948
1993,1650,72,1.920167095
1993,1652,59,1.683246211
1993,1652,64,1.766132613
1993,1652,64,1.766132613
1993,1652,68,1.839624929
1993,1656,77,2.031794996
1993,1661,118,3.638472101
1993,1668,61,1.715266556
1993,1668,71,1.89933471
1993,1668,81,2.130771338
1993,1668,82,2.156964772
1993,1668,83,2.183764956
1993,1677,111,3.247683207
1993,1682,94,2.522875007
1993,1683,53,1.595532092
1993,1683,56,1.637883254
1993,1683,101,2.787646589
1993,1683,118,3.638472101
1993,1684,67,1.820616001
1993,1696,57,1.652659321
1993,1697,52,1.582049374
1993,1697,80,2.105170918
1993,1709,35,1.394356483
1993,1709,39,1.432185666
1993,1709,74,1.963290742
1993,1709,76,2.008435379
1993,1709,79,2.080150086
1993,1716,30,1.351691819
1993,1723,34,1.385428337
1993,1723,36,1.403491442
1993,1723,56,1.637883254
1993,1723,65,1.783879476
1993,1725,71,1.89933471
1994,9410001,17,1.261139639
1994,9410001,35,1.394356483
1994,9410001,35,1.394356483
1994,9410001,36,1.403491442
1994,9410002,17,1.261139639
1994,9410002,35,1.394356483
1994,9410002,35,1.394356483
1994,9410002,36,1.403491442
1994,9410003,17,1.261139639
1994,9410003,35,1.394356483
1994,9410003,35,1.394356483
1994,9410003,36,1.403491442
1994,9410024,16,1.255227494
1994,9410024,85,2.239242121
1994,9410024,93,2.488397444
1994,9410024,100,2.747174654
1994,9410028,15,1.249449198
1994,9410032,75,1.985604619
1994,9410038,66,1.802037431
1994,9410052,55,1.623441714
1994,9410084,40,1.442196909
1994,9410084,47,1.51907858
1994,9410084,76,2.008435379
1994,9410085,45,1.495840984
1994,9410085,109,3.14706115
1994,9410086,51,1.568871901
1994,9410086,55,1.623441714
1994,9410086,58,1.667777663
1994,9410086,70,1.878973966
1994,9410086,80,2.105170918
1994,9410086,89,2.358118112
1994,9410086,94,2.522875007
1994,9410086,100,2.747174654
1994,9410086,101,2.787646589
1994,9410086,105,2.959129026
1994,9410086,110,3.196796142
1994,9410086,111,3.247683207
1994,9410086,125,4.097204715
1994,9410086,138,5.171184299
1994,9410098,41,1.452440055
1994,9410105,47,1.51907858
1994,9410106,40,1.442196909
1994,9410106,50,1.555992764
1994,9410106,100,2.747174654
1994,9410148,55,1.623441714
1994,9410148,56,1.637883254
1994,9410154,41,1.452440055
1994,9410154,42,1.462920475
1994,9410154,44,1.484615251
1994,9410154,46,1.507326753
1994,9410154,64,1.766132613
1994,9410154,85,2.239242121
1994,9410154,86,2.267948196
1994,9410154,90,2.389577856
1994,9410180,38,1.422401076
1994,9410180,68,1.839624929
1994,9410180,71,1.89933471
1994,9410180,74,1.963290742
1994,9410180,76,2.008435379
1994,9410180,77,2.031794996
1994,9410180,77,2.031794996
1994,9410180,80,2.105170918
1994,9410180,87,2.297319224
1994,9410180,90,2.389577856
1994,9410180,90,2.389577856
1994,9410180,91,2.42176634
1994,9410180,91,2.42176634
1994,9410180,92,2.454700445
1994,9410180,92,2.454700445
1994,9410180,93,2.488397444
1994,9410180,97,2.631173998
1994,9410180,98,2.668958869
1994,9410180,107,3.050943641
1994,9410180,107,3.050943641
1994,9410182,41,1.452440055
1994,9410182,49,1.543405207
1994,9410182,57,1.652659321
1994,9410182,60,1.699073075
1994,9410182,63,1.748787535
1994,9410182,65,1.783879476
1994,9410182,69,1.859074184
1994,9410182,71,1.89933471
1994,9410182,74,1.963290742
1994,9410182,74,1.963290742
1994,9410182,86,2.267948196
1994,9410182,90,2.389577856
1994,9410182,103,2.871424677
1994,9410182,104,2.914774766
1994,9410182,119,3.699590244
1994,9410182,132,4.635693948
1994,9410183,106,3.004510718
1994,9410196,32,1.368173862
1994,9410197,18,1.267188734
1994,9410198,16,1.255227494
1994,9410198,17,1.261139639
1994,9410198,17,1.261139639
1994,9410198,17,1.261139639
1994,9410198,110,3.196796142
1994,9410198,135,4.894245692
1994,9410199,19,1.273377952
1994,9410200,15,1.249449198
1994,9410203,45,1.495840984
1994,9410210,20,1.279710539
1994,9410221,128,4.317461891
1994,9410222,17,1.261139639
1994,9410239,61,1.715266556
1994,9410246,95,2.558151215
1994,9410246,139,5.267806521
1994,9410253,151,6.617574572
1994,9410255,91,2.42176634
1994,9410284,141,5.467817347
1994,9410288,129,4.394308302
1994,9410340,41,1.452440055
1994,9410340,42,1.462920475
1994,9410354,65,1.783879476
1994,9410367,67,1.820616001
1994,9410367,80,2.105170918
1994,9410368,21,1.286189815
1994,9410368,34,1.385428337
1994,9410368,42,1.462920475
1994,9410369,85,2.239242121
1994,9410382,71,1.89933471
1994,9410391,86,2.267948196
1994,9410405,18,1.267188734
1994,9410405,21,1.286189815
1994,9410406,16,1.255227494
1994,9410406,22,1.292819178
1994,9410406,56,1.637883254
1994,9410407,20,1.279710539
1994,9410407,20,1.279710539
1994,9410407,21,1.286189815
1994,9410407,22,1.292819178
1994,9410407,25,1.313642963
1994,9410407,25,1.313642963
1994,9410407,82,2.156964772
1994,9410417,87,2.297319224
1994,9410422,19,1.273377952
1994,9410422,121,3.826106587
1994,9410427,82,2.156964772
1994,9410432,50,1.555992764
1994,9410445,69,1.859074184
1994,9410445,74,1.963290742
1994,9410445,81,2.130771338
1994,9410445,82,2.156964772
1994,9410445,83,2.183764956
1994,9410445,106,3.004510718
1994,9410446,114,3.407526808
1994,9410452,46,1.507326753
1994,9410455,56,1.637883254
1994,9410488,54,1.609327128
1994,9410547,23,1.299602105
1994,9410549,21,1.286189815
1994,9410549,45,1.495840984
1994,9410595,90,2.389577856
1994,9410596,96,2.59424457
1994,9410611,75,1.985604619
1994,9410611,84,2.211185946
1994,9410612,72,1.920167095
1994,9410612,78,2.05569572
1994,9410680,27,1.328341846
1994,9410708,36,1.403491442
1994,9410741,29,1.343729592
1994,9410741,70,1.878973966
1994,9410756,26,1.320908257
1994,9410798,102,2.829056024
1994,9410810,71,1.89933471
1994,9410963,36,1.403491442
1994,9410965,87,2.297319224
1994,9410967,77,2.031794996
1994,9410969,38,1.422401076
1994,9410971,40,1.442196909
1994,9410971,96,2.59424457
1994,9411034,30,1.351691819
1994,9411034,35,1.394356483
1994,9411034,40,1.442196909
1994,9411034,45,1.495840984
1994,9411034,145,5.896398819
1994,9411035,35,1.394356483
1994,9411058,50,1.555992764
1994,9411060,48,1.53110263
1994,9411062,49,1.543405207
1994,9411062,50,1.555992764
1994,9411062,50,1.555992764
1994,9411062,63,1.748787535
1994,9411070,59,1.683246211
1994,9419016,45,1.495840984
1994,9419016,55,1.623441714
1994,9419016,55,1.623441714
1994,9419016,63,1.748787535
1994,9419016,66,1.802037431
1994,9419016,79,2.080150086
1994,9419016,90,2.389577856
1994,9420003,56,1.637883254
1994,9420003,75,1.985604619
1994,9420003,79,2.080150086
1994,9420003,93,2.488397444
1994,9420010,26,1.320908257
1994,9420010,28,1.335947628
1994,9420010,33,1.376702322
1994,9420020,81,2.130771338
1994,9420020,84,2.211185946
1994,9420020,101,2.787646589
1994,9420024,76,2.008435379
1994,9420028,85,2.239242121
1994,9420041,41,1.452440055
1994,9420041,59,1.683246211
1994,9420041,99,2.707618996
1994,9420041,140,5.366666922
1994,9420041,162,8.226826465
1994,9420041,165,8.740760975
1994,9420071,36,1.403491442
1994,9420107,60,1.699073075
1994,9420107,62,1.731835147
1994,9420107,65,1.783879476
1994,9420107,73,1.941482047
1994,9420107,89,2.358118112
1994,9420107,90,2.389577856
1994,9420107,90,2.389577856
1994,9420107,94,2.522875007
1994,9420107,95,2.558151215
1994,9420107,106,3.004510718
1994,9420107,109,3.14706115
1994,9420107,114,3.407526808
1994,9420107,115,3.463295284
1994,9420107,117,3.57873766
1994,9420107,121,3.826106587
1994,9420107,129,4.394308302
1994,9420107,149,6.366092554
1994,9420107,154,7.017067413
1994,9420113,46,1.507326753
1994,9420113,66,1.802037431
1994,9420113,71,1.89933471
1994,9420125,36,1.403491442
1994,9420126,52,1.582049374
1994,9420146,95,2.558151215
1994,9420171,81,2.130771338
1994,9420204,84,2.211185946
1994,9420218,80,2.105170918
1994,9420218,105,2.959129026
1994,9420218,122,3.891571136
1994,9420218,123,3.95855212
1994,9420218,125,4.097204715
1994,9420218,138,5.171184299
1994,9420218,142,5.571310842
1994,9420224,46,1.507326753
1994,9420228,82,2.156964772
1994,9420234,76,2.008435379
1994,9420235,72,1.920167095
1994,9420244,51,1.568871901
1994,9420244,62,1.731835147
1994,9420262,60,1.699073075
1994,9420270,62,1.731835147
1994,9420295,90,2.389577856
1994,9420295,96,2.59424457
1994,9420326,48,1.53110263
1994,9420326,52,1.582049374
1994,9420327,56,1.637883254
1994,9420332,69,1.859074184
1994,9420332,88,2.327370609
1994,9420332,109,3.14706115
1994,9420378,0,1.176930195
1994,9420405,139,5.267806521
1994,9420423,52,1.582049374
1994,9420465,38,1.422401076
1994,9420498,34,1.385428337
1994,9420499,52,1.582049374
1994,9420499,59,1.683246211
1994,9420499,84,2.211185946
1994,9420503,72,1.920167095
1994,9420503,73,1.941482047
1994,9420503,75,1.985604619
1994,9420506,16,1.255227494
1994,9420506,34,1.385428337
1994,9420513,18,1.267188734
1994,9420513,53,1.595532092
1994,9420513,105,2.959129026
1994,9420513,134,4.806080807
1994,9420514,19,1.273377952
1994,9420514,25,1.313642963
1994,9420517,48,1.53110263
1994,9420517,102,2.829056024
1994,9420517,105,2.959129026
1994,9420525,28,1.335947628
1994,9420542,83,2.183764956
1994,9420553,49,1.543405207
1994,9420555,65,1.783879476
1994,9420574,84,2.211185946
1994,9420574,86,2.267948196
1994,9420592,0,1.176930195
1994,9420593,48,1.53110263
1994,9420607,71,1.89933471
1994,9420607,73,1.941482047
1994,9420607,76,2.008435379
1994,9420607,80,2.105170918
1994,9420607,82,2.156964772
1994,9420611,48,1.53110263
1994,9420657,62,1.731835147
1994,9420669,32,1.368173862
1994,9420669,62,1.731835147
1994,9420740,98,2.668958869
1994,9420746,153,6.8808423
1994,9420753,58,1.667777663
1994,9421229,72,1.920167095
1994,9421230,85,2.239242121
1994,9421242,109,3.14706115
1994,9421247,56,1.637883254
1994,9421249,22,1.292819178
1994,9421249,30,1.351691819
1994,9421249,31,1.359838485
1994,9421249,59,1.683246211
1994,9421251,24,1.306542154
1994,9421252,22,1.292819178
1994,9421252,27,1.328341846
1994,9421252,28,1.335947628
1994,9421252,30,1.351691819
1994,9421253,42,1.462920475
1994,9421253,82,2.156964772
1994,9421257,30,1.351691819
1994,9421257,36,1.403491442
1994,9421257,61,1.715266556
1994,9421257,85,2.239242121
1994,9421257,95,2.558151215
1994,9421257,98,2.668958869
1994,9421257,109,3.14706115
1994,9421257,119,3.699590244
1994,9421257,131,4.553382618
1994,9421257,132,4.635693948
1994,9421257,134,4.806080807
1994,9421260,80,2.105170918
1994,9430001,0,1.176930195
1994,9430001,22,1.292819178
1994,9430001,44,1.484615251
1994,9430001,48,1.53110263
1994,9430001,59,1.683246211
1994,9430001,60,1.699073075
1994,9430001,62,1.731835147
1994,9430038,95,2.558151215
1994,9430075,92,2.454700445
1994,9430084,24,1.306542154
1994,9430084,46,1.507326753
1994,9430084,56,1.637883254
1994,9430084,72,1.920167095
1994,9430121,74,1.963290742
1994,9430159,119,3.699590244
1994,9430160,22,1.292819178
1994,9430182,31,1.359838485
1994,9430200,111,3.247683207
1994,9430212,70,1.878973966
1994,9430217,96,2.59424457
1994,9430234,15,1.249449198
1994,9430247,82,2.156964772
1994,9430247,87,2.297319224
1994,9430248,54,1.609327128
1994,9430248,62,1.731835147
1994,9430248,63,1.748787535
1994,9430248,64,1.766132613
1994,9430248,68,1.839624929
1994,9430248,77,2.031794996
1994,9430248,83,2.183764956
1994,9430249,63,1.748787535
1994,9430249,67,1.820616001
1994,9430252,58,1.667777663
1994,9430252,66,1.802037431
1994,9430252,86,2.267948196
1994,9430253,66,1.802037431
1994,9430253,80,2.105170918
1994,9430262,50,1.555992764
1994,9430270,78,2.05569572
1994,9430270,95,2.558151215
1994,9430270,120,3.762124141
1994,9430270,138,5.171184299
1994,9430276,68,1.839624929
1994,9430276,115,3.463295284
1994,9430277,46,1.507326753
1994,9430277,57,1.652659321
1994,9430277,60,1.699073075
1994,9430277,78,2.05569572
1994,9430281,51,1.568871901
1994,9430281,73,1.941482047
1994,9430283,43,1.473643666
1994,9430283,55,1.623441714
1994,9430283,65,1.783879476
1994,9430283,77,2.031794996
1994,9430284,20,1.279710539
1994,9430284,56,1.637883254
1994,9430284,64,1.766132613
1994,9430284,99,2.707618996
1994,9430287,20,1.279710539
1994,9430287,21,1.286189815
1994,9430287,23,1.299602105
1994,9430287,38,1.422401076
1994,9430287,49,1.543405207
1994,9430287,73,1.941482047
1994,9430287,75,1.985604619
1994,9430287,77,2.031794996
1994,9430287,86,2.267948196
1994,9430287,94,2.522875007
1994,9430287,98,2.668958869
1994,9430287,105,2.959129026
1994,9430287,107,3.050943641
1994,9430287,108,3.098452147
1994,9430287,110,3.196796142
1994,9430287,118,3.638472101
1994,9430287,138,5.171184299
1994,9430289,20,1.279710539
1994,9430289,24,1.306542154
1994,9430289,64,1.766132613
1994,9430291,0,1.176930195
1994,9430291,25,1.313642963
1994,9430291,25,1.313642963
1994,9430291,25,1.313642963
1994,9430292,67,1.820616001
1994,9430297,21,1.286189815
1994,9430297,24,1.306542154
1994,9430297,25,1.313642963
1994,9430299,26,1.320908257
1994,9430299,27,1.328341846
1994,9430306,76,2.008435379
1994,9430306,86,2.267948196
1994,9430306,90,2.389577856
1994,9430306,96,2.59424457
1994,9430306,97,2.631173998
1994,9430306,134,4.806080807
1994,9430306,140,5.366666922
1994,9430308,60,1.699073075
1994,9430310,50,1.555992764
1994,9430315,130,4.472934799
1994,9430320,0,1.176930195
1994,9430336,70,1.878973966
1994,9430344,59,1.683246211
1994,9430344,88,2.327370609
1994,9430347,62,1.731835147
1994,9430351,25,1.313642963
1994,9430351,30,1.351691819
1994,9430353,23,1.299602105
1994,9430353,25,1.313642963
1994,9430353,25,1.313642963
1994,9430353,29,1.343729592
1994,9430353,31,1.359838485
1994,9430354,102,2.829056024
1994,9430355,47,1.51907858
1994,9430359,24,1.306542154
1994,9430359,25,1.313642963
1994,9430361,24,1.306542154
1994,9430361,25,1.313642963
1994,9430361,27,1.328341846
1994,9430361,28,1.335947628
1994,9430361,28,1.335947628
1994,9430361,56,1.637883254
1994,9430362,27,1.328341846
1994,9430362,44,1.484615251
1994,9430371,50,1.555992764
1994,9430371,58,1.667777663
1994,9430372,21,1.286189815
1994,9430372,28,1.335947628
1994,9430372,31,1.359838485
1994,9430372,32,1.368173862
1994,9430373,25,1.313642963
1994,9430374,22,1.292819178
1994,9430374,24,1.306542154
1994,9430374,25,1.313642963
1994,9430374,30,1.351691819
1994,9430375,22,1.292819178
1994,9430375,24,1.306542154
1994,9430375,32,1.368173862
1994,9430375,36,1.403491442
1994,9430376,32,1.368173862
1994,9430376,33,1.376702322
1994,9430377,30,1.351691819
1994,9430381,24,1.306542154
1994,9430381,25,1.313642963
1994,9430381,25,1.313642963
1994,9430381,26,1.320908257
1994,9430381,26,1.320908257
1994,9430381,28,1.335947628
1994,9430381,28,1.335947628
1994,9430381,28,1.335947628
1994,9430381,28,1.335947628
1994,9430381,29,1.343729592
1994,9430381,31,1.359838485
1994,9430381,32,1.368173862
1994,9430381,32,1.368173862
1994,9430385,25,1.313642963
1994,9430385,31,1.359838485
1994,9430385,35,1.394356483
1994,9430386,24,1.306542154
1994,9430387,22,1.292819178
1994,9430387,22,1.292819178
1994,9430387,24,1.306542154
1994,9430387,27,1.328341846
1994,9430387,34,1.385428337
1994,9430388,110,3.196796142
1994,9430394,86,2.267948196
1994,9430396,27,1.328341846
1994,9430397,40,1.442196909
1994,9430429,70,1.878973966
1994,9430429,78,2.05569572
1994,9430429,80,2.105170918
1994,9430437,22,1.292819178
1994,9430437,26,1.320908257
1994,9430437,62,1.731835147
1994,9430437,112,3.299749031
1994,9440015,21,1.286189815
1994,9440016,55,1.623441714
1994,9440019,44,1.484615251
1994,9440019,45,1.495840984
1994,9440019,46,1.507326753
1994,9440019,61,1.715266556
1994,9440019,65,1.783879476
1994,9440019,78,2.05569572
1994,9440035,49,1.543405207
1994,9440035,50,1.555992764
1994,9440035,61,1.715266556
1994,9440035,63,1.748787535
1994,9440035,64,1.766132613
1994,9440035,64,1.766132613
1994,9440035,72,1.920167095
1994,9440035,86,2.267948196
1994,9440035,103,2.871424677
1994,9440035,104,2.914774766
1994,9440035,123,3.95855212
1994,9440036,66,1.802037431
1994,9440056,44,1.484615251
1994,9440057,32,1.368173862
1994,9440057,56,1.637883254
1994,9440057,74,1.963290742
1994,9440060,56,1.637883254
1994,9440060,57,1.652659321
1994,9440061,35,1.394356483
1994,9440061,94,2.522875007
1994,9440066,0,1.176930195
